ID	%Miss	inferred_cluster_1	inferred_cluster_2	replication
NP025001	(0)	0.997	0.003	3
NP025002	(0)	0.987	0.013	3
NP025003	(0)	0.992	0.008	3
NP025004	(0)	0.990	0.010	3
NP025005	(0)	0.994	0.006	3
NP025006	(0)	0.996	0.004	3
NP025007	(0)	0.996	0.004	3
NP025008	(0)	0.992	0.008	3
NP025009	(0)	0.996	0.004	3
NP025010	(0)	0.994	0.006	3
NP025011	(0)	0.975	0.025	3
NP025012	(0)	0.994	0.006	3
NP025013	(0)	0.983	0.017	3
NP025014	(0)	0.988	0.012	3
NP961862	(5)	0.991	0.009	3
NP965791	(0)	0.976	0.024	3
NP965819	(0)	0.955	0.045	3
NP965820	(0)	0.995	0.005	3
NP965821	(0)	0.994	0.006	3
NP965824	(5)	0.871	0.129	3
NP966224	(11)	0.994	0.006	3
NP966248	(0)	0.993	0.007	3
NP966249	(0)	0.914	0.086	3
NP966253	(11)	0.974	0.026	3
NP966254	(0)	0.966	0.034	3
SC005129	(0)	0.020	0.980	3
SC005133	(0)	0.003	0.997	3
SC005134	(11)	0.227	0.773	3
SC005137	(0)	0.006	0.994	3
SC005138	(0)	0.010	0.990	3
SC005139	(0)	0.002	0.998	3
SC005141	(0)	0.002	0.998	3
SC005142	(0)	0.004	0.996	3
SC005143	(0)	0.001	0.999	3
SC005144	(0)	0.049	0.951	3
SC005145	(0)	0.002	0.998	3
SC005146	(0)	0.002	0.998	3
SC005149	(0)	0.002	0.998	3
SC005150	(0)	0.366	0.634	3
SC005151	(0)	0.002	0.998	3
SC005152	(0)	0.002	0.998	3
SC005156	(0)	0.001	0.999	3
SC005159	(0)	0.001	0.999	3
SC005161	(0)	0.001	0.999	3
SC005167	(0)	0.001	0.999	3
SC005173	(0)	0.001	0.999	3
SC015174	(0)	0.003	0.997	3
SC015175	(0)	0.810	0.190	3
SC015177	(0)	0.003	0.997	3
SC015179	(0)	0.002	0.998	3
SC015181	(0)	0.002	0.998	3
SC015191	(0)	0.002	0.998	3
SC025195	(0)	0.002	0.998	3
SC025196	(0)	0.019	0.981	3
SC030199	(0)	0.013	0.987	3
SC030200	(0)	0.003	0.997	3
SC030202	(0)	0.002	0.998	3
SC030203	(0)	0.001	0.999	3
SC030204	(0)	0.002	0.998	3
SC030207	(0)	0.003	0.997	3
SC030208	(0)	0.001	0.999	3
SC030210	(0)	0.022	0.978	3
SC040212	(0)	0.002	0.998	3
SC040214	(0)	0.002	0.998	3
SC040215	(0)	0.002	0.998	3
SC040219	(0)	0.002	0.998	3
SC040222	(0)	0.001	0.999	3
SC040223	(0)	0.002	0.998	3
SC040224	(0)	0.011	0.989	3
SC040226	(0)	0.002	0.998	3
SC040227	(0)	0.001	0.999	3
SC040228	(0)	0.002	0.998	3
SC040229	(0)	0.002	0.998	3
SC040231	(0)	0.002	0.998	3
SC040232	(0)	0.002	0.998	3
SC040233	(0)	0.002	0.998	3
SC040236	(0)	0.001	0.999	3
SC040237	(0)	0.002	0.998	3
SC040238	(0)	0.002	0.998	3
SC040239	(0)	0.014	0.986	3
SC040240	(0)	0.002	0.998	3
SC040241	(0)	0.002	0.998	3
SC040242	(0)	0.002	0.998	3
SC040247	(0)	0.002	0.998	3
SC040249	(0)	0.006	0.994	3
SC040251	(0)	0.002	0.998	3
SC040254	(0)	0.007	0.993	3
SC040255	(0)	0.024	0.976	3
SC040256	(0)	0.002	0.998	3
SC040258	(0)	0.011	0.989	3
SC040259	(0)	0.002	0.998	3
SC040262	(0)	0.003	0.997	3
SC040263	(0)	0.002	0.998	3
SC040265	(0)	0.009	0.991	3
SC040266	(0)	0.001	0.999	3
SC040267	(0)	0.002	0.998	3
SC040268	(0)	0.002	0.998	3
SC040269	(0)	0.001	0.999	3
SC040270	(0)	0.002	0.998	3
SC040271	(0)	0.001	0.999	3
SC040272	(0)	0.003	0.997	3
SC040273	(0)	0.001	0.999	3
SC040274	(0)	0.002	0.998	3
SC040275	(0)	0.205	0.795	3
SC040277	(0)	0.015	0.985	3
SC040278	(0)	0.001	0.999	3
SC040279	(0)	0.002	0.998	3
SC040281	(0)	0.003	0.997	3
SC040282	(0)	0.002	0.998	3
SC040283	(0)	0.002	0.998	3
SC040284	(0)	0.030	0.970	3
SC040285	(0)	0.002	0.998	3
SC040286	(0)	0.002	0.998	3
SC040288	(0)	0.002	0.998	3
SC040289	(0)	0.003	0.997	3
SC040292	(0)	0.001	0.999	3
SC040294	(0)	0.002	0.998	3
SC040295	(0)	0.022	0.978	3
SC040296	(0)	0.002	0.998	3
SC040297	(0)	0.002	0.998	3
SC040300	(0)	0.003	0.997	3
SC040301	(0)	0.002	0.998	3
SC040302	(0)	0.002	0.998	3
SC040303	(0)	0.002	0.998	3
SC040304	(0)	0.003	0.997	3
SC040305	(0)	0.002	0.998	3
SC040307	(0)	0.001	0.999	3
SC040308	(0)	0.002	0.998	3
SC040309	(0)	0.002	0.998	3
SC040311	(0)	0.003	0.997	3
SC040312	(0)	0.001	0.999	3
SC040313	(0)	0.002	0.998	3
SC040314	(0)	0.001	0.999	3
SC040316	(0)	0.004	0.996	3
SC040317	(0)	0.003	0.997	3
SC040318	(0)	0.002	0.998	3
SC040319	(0)	0.002	0.998	3
SC040320	(0)	0.001	0.999	3
SC040321	(0)	0.007	0.993	3
SC040322	(0)	0.004	0.996	3
SC040323	(0)	0.001	0.999	3
SC040325	(0)	0.001	0.999	3
SC040327	(0)	0.002	0.998	3
SC040330	(0)	0.003	0.997	3
SC040331	(0)	0.002	0.998	3
SC040332	(0)	0.001	0.999	3
SC040334	(0)	0.002	0.998	3
SC040337	(0)	0.002	0.998	3
SC040338	(0)	0.003	0.997	3
SC040339	(0)	0.008	0.992	3
SC040340	(0)	0.003	0.997	3
SC040341	(0)	0.002	0.998	3
SC040344	(0)	0.001	0.999	3
SC040346	(0)	0.001	0.999	3
SC040348	(0)	0.001	0.999	3
SC040352	(0)	0.002	0.998	3
SC040353	(0)	0.001	0.999	3
SC040354	(0)	0.062	0.938	3
SC040355	(0)	0.001	0.999	3
SC040356	(0)	0.037	0.963	3
SC040358	(0)	0.002	0.998	3
SC040359	(0)	0.038	0.962	3
SC040360	(0)	0.002	0.998	3
SC040361	(0)	0.002	0.998	3
SC040362	(0)	0.003	0.997	3
SC040363	(0)	0.002	0.998	3
SC040365	(0)	0.002	0.998	3
SC040366	(0)	0.002	0.998	3
SC040368	(0)	0.021	0.979	3
SC930501	(0)	0.003	0.997	3
SC930502	(0)	0.003	0.997	3
SC930507	(0)	0.001	0.999	3
SC930508	(0)	0.002	0.998	3
SC930510	(0)	0.002	0.998	3
SC930511	(0)	0.002	0.998	3
SC930513	(0)	0.005	0.995	3
SC930514	(0)	0.003	0.997	3
SC930516	(0)	0.002	0.998	3
SC930517	(0)	0.001	0.999	3
SC930518	(0)	0.001	0.999	3
SC930519	(0)	0.001	0.999	3
SC930522	(0)	0.273	0.727	3
SC930524	(0)	0.002	0.998	3
SC930525	(0)	0.003	0.997	3
SC930526	(5)	0.031	0.969	3
SC930527	(0)	0.002	0.998	3
SC940529	(0)	0.008	0.992	3
SC940530	(0)	0.001	0.999	3
SC940531	(0)	0.005	0.995	3
SC940532	(0)	0.002	0.998	3
SC940533	(0)	0.002	0.998	3
SC940535	(0)	0.003	0.997	3
SC940536	(0)	0.003	0.997	3
SC940537	(0)	0.002	0.998	3
SC940538	(0)	0.003	0.997	3
SC940539	(0)	0.003	0.997	3
SC940540	(0)	0.002	0.998	3
SC940541	(0)	0.002	0.998	3
SC940543	(0)	0.220	0.780	3
SC940544	(0)	0.002	0.998	3
SC940545	(0)	0.001	0.999	3
SC940546	(0)	0.002	0.998	3
SC940547	(0)	0.004	0.996	3
SC940548	(0)	0.014	0.986	3
SC940549	(0)	0.001	0.999	3
SC940551	(0)	0.002	0.998	3
SC940552	(0)	0.006	0.994	3
SC940553	(0)	0.002	0.998	3
SC940554	(0)	0.002	0.998	3
SC940555	(0)	0.002	0.998	3
SC940556	(0)	0.001	0.999	3
SC940558	(0)	0.003	0.997	3
SC940559	(0)	0.003	0.997	3
SC940560	(0)	0.304	0.696	3
SC940561	(0)	0.009	0.991	3
SC940564	(0)	0.001	0.999	3
SC940565	(0)	0.011	0.989	3
SC940566	(0)	0.011	0.989	3
SC940568	(0)	0.001	0.999	3
SC940570	(0)	0.002	0.998	3
SC940572	(0)	0.001	0.999	3
SC940573	(0)	0.004	0.996	3
SC940574	(0)	0.001	0.999	3
SC940577	(0)	0.005	0.995	3
SC940579	(0)	0.010	0.990	3
SC955052	(0)	0.014	0.986	3
SC955054	(5)	0.003	0.997	3
SC955055	(5)	0.002	0.998	3
SC955057	(11)	0.014	0.986	3
SC955058	(5)	0.002	0.998	3
SC955059	(0)	0.002	0.998	3
SC955060	(0)	0.002	0.998	3
SC955061	(0)	0.003	0.997	3
SC955062	(5)	0.001	0.999	3
SC955063	(5)	0.002	0.998	3
SC955064	(0)	0.002	0.998	3
SC955065	(0)	0.004	0.996	3
SC955066	(5)	0.002	0.998	3
SC955069	(16)	0.002	0.998	3
SC975071	(0)	0.002	0.998	3
SC975072	(0)	0.002	0.998	3
SC985074	(0)	0.001	0.999	3
SC985076	(0)	0.003	0.997	3
SC985077	(0)	0.002	0.998	3
SC985078	(0)	0.006	0.994	3
SC985079	(0)	0.012	0.988	3
SC985080	(0)	0.003	0.997	3
SC985081	(0)	0.003	0.997	3
SC985082	(0)	0.003	0.997	3
SC985083	(0)	0.002	0.998	3
SC985084	(0)	0.004	0.996	3
SC985085	(0)	0.002	0.998	3
SC985086	(0)	0.001	0.999	3
SC985088	(0)	0.006	0.994	3
SC985089	(0)	0.222	0.778	3
SC985091	(0)	0.002	0.998	3
SC985092	(0)	0.003	0.997	3
SC985093	(0)	0.002	0.998	3
SC985095	(0)	0.134	0.866	3
SC985096	(0)	0.003	0.997	3
SC985097	(0)	0.001	0.999	3
SC985098	(0)	0.002	0.998	3
SC985099	(0)	0.002	0.998	3
SC985100	(0)	0.006	0.994	3
SC985101	(0)	0.029	0.971	3
SC985102	(0)	0.002	0.998	3
SC985103	(0)	0.002	0.998	3
SC985105	(0)	0.048	0.952	3
SC985107	(0)	0.001	0.999	3
SC995108	(0)	0.027	0.973	3
SC995109	(0)	0.005	0.995	3
SC995110	(0)	0.003	0.997	3
SC995111	(0)	0.003	0.997	3
SC995112	(0)	0.002	0.998	3
SC995114	(0)	0.002	0.998	3
SC995115	(0)	0.002	0.998	3
SC995116	(0)	0.002	0.998	3
SC995117	(0)	0.001	0.999	3
SC995118	(0)	0.003	0.997	3
SC995119	(0)	0.008	0.992	3
SC995120	(0)	0.002	0.998	3
SC995121	(0)	0.002	0.998	3
SC995123	(0)	0.002	0.998	3
SC995126	(0)	0.001	0.999	3
NP025001	(0)	0.998	0.002	4
NP025002	(0)	0.988	0.012	4
NP025003	(0)	0.993	0.007	4
NP025004	(0)	0.992	0.008	4
NP025005	(0)	0.995	0.005	4
NP025006	(0)	0.996	0.004	4
NP025007	(0)	0.997	0.003	4
NP025008	(0)	0.993	0.007	4
NP025009	(0)	0.997	0.003	4
NP025010	(0)	0.995	0.005	4
NP025011	(0)	0.978	0.022	4
NP025012	(0)	0.995	0.005	4
NP025013	(0)	0.984	0.016	4
NP025014	(0)	0.990	0.010	4
NP961862	(5)	0.991	0.009	4
NP965791	(0)	0.977	0.023	4
NP965819	(0)	0.957	0.043	4
NP965820	(0)	0.995	0.005	4
NP965821	(0)	0.995	0.005	4
NP965824	(5)	0.855	0.145	4
NP966224	(11)	0.995	0.005	4
NP966248	(0)	0.994	0.006	4
NP966249	(0)	0.910	0.090	4
NP966253	(11)	0.975	0.025	4
NP966254	(0)	0.966	0.034	4
SC005129	(0)	0.017	0.983	4
SC005133	(0)	0.003	0.997	4
SC005134	(11)	0.225	0.775	4
SC005137	(0)	0.005	0.995	4
SC005138	(0)	0.011	0.989	4
SC005139	(0)	0.002	0.998	4
SC005141	(0)	0.001	0.999	4
SC005142	(0)	0.004	0.996	4
SC005143	(0)	0.001	0.999	4
SC005144	(0)	0.044	0.956	4
SC005145	(0)	0.002	0.998	4
SC005146	(0)	0.002	0.998	4
SC005149	(0)	0.002	0.998	4
SC005150	(0)	0.372	0.628	4
SC005151	(0)	0.002	0.998	4
SC005152	(0)	0.002	0.998	4
SC005156	(0)	0.001	0.999	4
SC005159	(0)	0.001	0.999	4
SC005161	(0)	0.001	0.999	4
SC005167	(0)	0.001	0.999	4
SC005173	(0)	0.001	0.999	4
SC015174	(0)	0.003	0.997	4
SC015175	(0)	0.830	0.170	4
SC015177	(0)	0.003	0.997	4
SC015179	(0)	0.002	0.998	4
SC015181	(0)	0.002	0.998	4
SC015191	(0)	0.002	0.998	4
SC025195	(0)	0.002	0.998	4
SC025196	(0)	0.015	0.985	4
SC030199	(0)	0.013	0.987	4
SC030200	(0)	0.003	0.997	4
SC030202	(0)	0.002	0.998	4
SC030203	(0)	0.001	0.999	4
SC030204	(0)	0.001	0.999	4
SC030207	(0)	0.003	0.997	4
SC030208	(0)	0.001	0.999	4
SC030210	(0)	0.023	0.977	4
SC040212	(0)	0.001	0.999	4
SC040214	(0)	0.002	0.998	4
SC040215	(0)	0.002	0.998	4
SC040219	(0)	0.001	0.999	4
SC040222	(0)	0.001	0.999	4
SC040223	(0)	0.001	0.999	4
SC040224	(0)	0.012	0.988	4
SC040226	(0)	0.002	0.998	4
SC040227	(0)	0.001	0.999	4
SC040228	(0)	0.002	0.998	4
SC040229	(0)	0.001	0.999	4
SC040231	(0)	0.002	0.998	4
SC040232	(0)	0.002	0.998	4
SC040233	(0)	0.002	0.998	4
SC040236	(0)	0.001	0.999	4
SC040237	(0)	0.002	0.998	4
SC040238	(0)	0.002	0.998	4
SC040239	(0)	0.013	0.987	4
SC040240	(0)	0.002	0.998	4
SC040241	(0)	0.002	0.998	4
SC040242	(0)	0.002	0.998	4
SC040247	(0)	0.001	0.999	4
SC040249	(0)	0.005	0.995	4
SC040251	(0)	0.001	0.999	4
SC040254	(0)	0.006	0.994	4
SC040255	(0)	0.023	0.977	4
SC040256	(0)	0.002	0.998	4
SC040258	(0)	0.010	0.990	4
SC040259	(0)	0.001	0.999	4
SC040262	(0)	0.002	0.998	4
SC040263	(0)	0.001	0.999	4
SC040265	(0)	0.008	0.992	4
SC040266	(0)	0.001	0.999	4
SC040267	(0)	0.002	0.998	4
SC040268	(0)	0.002	0.998	4
SC040269	(0)	0.001	0.999	4
SC040270	(0)	0.002	0.998	4
SC040271	(0)	0.001	0.999	4
SC040272	(0)	0.002	0.998	4
SC040273	(0)	0.001	0.999	4
SC040274	(0)	0.002	0.998	4
SC040275	(0)	0.209	0.791	4
SC040277	(0)	0.014	0.986	4
SC040278	(0)	0.001	0.999	4
SC040279	(0)	0.002	0.998	4
SC040281	(0)	0.003	0.997	4
SC040282	(0)	0.002	0.998	4
SC040283	(0)	0.001	0.999	4
SC040284	(0)	0.029	0.971	4
SC040285	(0)	0.002	0.998	4
SC040286	(0)	0.002	0.998	4
SC040288	(0)	0.001	0.999	4
SC040289	(0)	0.003	0.997	4
SC040292	(0)	0.001	0.999	4
SC040294	(0)	0.002	0.998	4
SC040295	(0)	0.019	0.981	4
SC040296	(0)	0.002	0.998	4
SC040297	(0)	0.002	0.998	4
SC040300	(0)	0.002	0.998	4
SC040301	(0)	0.001	0.999	4
SC040302	(0)	0.002	0.998	4
SC040303	(0)	0.002	0.998	4
SC040304	(0)	0.003	0.997	4
SC040305	(0)	0.002	0.998	4
SC040307	(0)	0.001	0.999	4
SC040308	(0)	0.001	0.999	4
SC040309	(0)	0.002	0.998	4
SC040311	(0)	0.002	0.998	4
SC040312	(0)	0.001	0.999	4
SC040313	(0)	0.002	0.998	4
SC040314	(0)	0.002	0.998	4
SC040316	(0)	0.003	0.997	4
SC040317	(0)	0.002	0.998	4
SC040318	(0)	0.002	0.998	4
SC040319	(0)	0.002	0.998	4
SC040320	(0)	0.001	0.999	4
SC040321	(0)	0.006	0.994	4
SC040322	(0)	0.004	0.996	4
SC040323	(0)	0.001	0.999	4
SC040325	(0)	0.001	0.999	4
SC040327	(0)	0.002	0.998	4
SC040330	(0)	0.002	0.998	4
SC040331	(0)	0.002	0.998	4
SC040332	(0)	0.001	0.999	4
SC040334	(0)	0.002	0.998	4
SC040337	(0)	0.002	0.998	4
SC040338	(0)	0.003	0.997	4
SC040339	(0)	0.009	0.991	4
SC040340	(0)	0.003	0.997	4
SC040341	(0)	0.002	0.998	4
SC040344	(0)	0.001	0.999	4
SC040346	(0)	0.001	0.999	4
SC040348	(0)	0.001	0.999	4
SC040352	(0)	0.002	0.998	4
SC040353	(0)	0.001	0.999	4
SC040354	(0)	0.051	0.949	4
SC040355	(0)	0.001	0.999	4
SC040356	(0)	0.031	0.969	4
SC040358	(0)	0.002	0.998	4
SC040359	(0)	0.037	0.963	4
SC040360	(0)	0.002	0.998	4
SC040361	(0)	0.002	0.998	4
SC040362	(0)	0.003	0.997	4
SC040363	(0)	0.002	0.998	4
SC040365	(0)	0.002	0.998	4
SC040366	(0)	0.002	0.998	4
SC040368	(0)	0.016	0.984	4
SC930501	(0)	0.003	0.997	4
SC930502	(0)	0.002	0.998	4
SC930507	(0)	0.001	0.999	4
SC930508	(0)	0.002	0.998	4
SC930510	(0)	0.002	0.998	4
SC930511	(0)	0.002	0.998	4
SC930513	(0)	0.004	0.996	4
SC930514	(0)	0.003	0.997	4
SC930516	(0)	0.002	0.998	4
SC930517	(0)	0.001	0.999	4
SC930518	(0)	0.001	0.999	4
SC930519	(0)	0.001	0.999	4
SC930522	(0)	0.279	0.721	4
SC930524	(0)	0.002	0.998	4
SC930525	(0)	0.003	0.997	4
SC930526	(5)	0.030	0.970	4
SC930527	(0)	0.001	0.999	4
SC940529	(0)	0.007	0.993	4
SC940530	(0)	0.001	0.999	4
SC940531	(0)	0.005	0.995	4
SC940532	(0)	0.002	0.998	4
SC940533	(0)	0.002	0.998	4
SC940535	(0)	0.003	0.997	4
SC940536	(0)	0.002	0.998	4
SC940537	(0)	0.001	0.999	4
SC940538	(0)	0.003	0.997	4
SC940539	(0)	0.003	0.997	4
SC940540	(0)	0.002	0.998	4
SC940541	(0)	0.001	0.999	4
SC940543	(0)	0.220	0.780	4
SC940544	(0)	0.002	0.998	4
SC940545	(0)	0.001	0.999	4
SC940546	(0)	0.002	0.998	4
SC940547	(0)	0.004	0.996	4
SC940548	(0)	0.012	0.988	4
SC940549	(0)	0.001	0.999	4
SC940551	(0)	0.002	0.998	4
SC940552	(0)	0.005	0.995	4
SC940553	(0)	0.002	0.998	4
SC940554	(0)	0.002	0.998	4
SC940555	(0)	0.002	0.998	4
SC940556	(0)	0.001	0.999	4
SC940558	(0)	0.003	0.997	4
SC940559	(0)	0.002	0.998	4
SC940560	(0)	0.313	0.687	4
SC940561	(0)	0.008	0.992	4
SC940564	(0)	0.001	0.999	4
SC940565	(0)	0.010	0.990	4
SC940566	(0)	0.011	0.989	4
SC940568	(0)	0.001	0.999	4
SC940570	(0)	0.002	0.998	4
SC940572	(0)	0.001	0.999	4
SC940573	(0)	0.003	0.997	4
SC940574	(0)	0.001	0.999	4
SC940577	(0)	0.005	0.995	4
SC940579	(0)	0.009	0.991	4
SC955052	(0)	0.013	0.987	4
SC955054	(5)	0.002	0.998	4
SC955055	(5)	0.002	0.998	4
SC955057	(11)	0.012	0.988	4
SC955058	(5)	0.002	0.998	4
SC955059	(0)	0.002	0.998	4
SC955060	(0)	0.002	0.998	4
SC955061	(0)	0.003	0.997	4
SC955062	(5)	0.001	0.999	4
SC955063	(5)	0.001	0.999	4
SC955064	(0)	0.002	0.998	4
SC955065	(0)	0.004	0.996	4
SC955066	(5)	0.002	0.998	4
SC955069	(16)	0.002	0.998	4
SC975071	(0)	0.002	0.998	4
SC975072	(0)	0.002	0.998	4
SC985074	(0)	0.001	0.999	4
SC985076	(0)	0.003	0.997	4
SC985077	(0)	0.001	0.999	4
SC985078	(0)	0.005	0.995	4
SC985079	(0)	0.009	0.991	4
SC985080	(0)	0.002	0.998	4
SC985081	(0)	0.003	0.997	4
SC985082	(0)	0.003	0.997	4
SC985083	(0)	0.002	0.998	4
SC985084	(0)	0.004	0.996	4
SC985085	(0)	0.002	0.998	4
SC985086	(0)	0.001	0.999	4
SC985088	(0)	0.005	0.995	4
SC985089	(0)	0.223	0.777	4
SC985091	(0)	0.001	0.999	4
SC985092	(0)	0.002	0.998	4
SC985093	(0)	0.002	0.998	4
SC985095	(0)	0.131	0.869	4
SC985096	(0)	0.003	0.997	4
SC985097	(0)	0.001	0.999	4
SC985098	(0)	0.002	0.998	4
SC985099	(0)	0.002	0.998	4
SC985100	(0)	0.006	0.994	4
SC985101	(0)	0.029	0.971	4
SC985102	(0)	0.002	0.998	4
SC985103	(0)	0.001	0.999	4
SC985105	(0)	0.042	0.958	4
SC985107	(0)	0.001	0.999	4
SC995108	(0)	0.026	0.974	4
SC995109	(0)	0.005	0.995	4
SC995110	(0)	0.003	0.997	4
SC995111	(0)	0.003	0.997	4
SC995112	(0)	0.002	0.998	4
SC995114	(0)	0.001	0.999	4
SC995115	(0)	0.002	0.998	4
SC995116	(0)	0.002	0.998	4
SC995117	(0)	0.001	0.999	4
SC995118	(0)	0.003	0.997	4
SC995119	(0)	0.007	0.993	4
SC995120	(0)	0.002	0.998	4
SC995121	(0)	0.001	0.999	4
SC995123	(0)	0.002	0.998	4
SC995126	(0)	0.001	0.999	4
NP025001	(0)	0.998	0.002	5
NP025002	(0)	0.988	0.012	5
