ID	%Miss	inferred_cluster_1	inferred_cluster_2	replication
NP025003	(0)	0.993	0.007	5
NP025004	(0)	0.991	0.009	5
NP025005	(0)	0.995	0.005	5
NP025006	(0)	0.996	0.004	5
NP025007	(0)	0.997	0.003	5
NP025008	(0)	0.993	0.007	5
NP025009	(0)	0.997	0.003	5
NP025010	(0)	0.994	0.006	5
NP025011	(0)	0.976	0.024	5
NP025012	(0)	0.995	0.005	5
NP025013	(0)	0.985	0.015	5
NP025014	(0)	0.988	0.012	5
NP961862	(5)	0.991	0.009	5
NP965791	(0)	0.975	0.025	5
NP965819	(0)	0.953	0.047	5
NP965820	(0)	0.995	0.005	5
NP965821	(0)	0.995	0.005	5
NP965824	(5)	0.851	0.149	5
NP966224	(11)	0.995	0.005	5
NP966248	(0)	0.993	0.007	5
NP966249	(0)	0.912	0.088	5
NP966253	(11)	0.972	0.028	5
NP966254	(0)	0.963	0.037	5
SC005129	(0)	0.020	0.980	5
SC005133	(0)	0.003	0.997	5
SC005134	(11)	0.217	0.783	5
SC005137	(0)	0.007	0.993	5
SC005138	(0)	0.012	0.988	5
SC005139	(0)	0.002	0.998	5
SC005141	(0)	0.002	0.998	5
SC005142	(0)	0.004	0.996	5
SC005143	(0)	0.001	0.999	5
SC005144	(0)	0.046	0.954	5
SC005145	(0)	0.002	0.998	5
SC005146	(0)	0.002	0.998	5
SC005149	(0)	0.002	0.998	5
SC005150	(0)	0.358	0.642	5
SC005151	(0)	0.002	0.998	5
SC005152	(0)	0.002	0.998	5
SC005156	(0)	0.002	0.998	5
SC005159	(0)	0.002	0.998	5
SC005161	(0)	0.001	0.999	5
SC005167	(0)	0.002	0.998	5
SC005173	(0)	0.002	0.998	5
SC015174	(0)	0.003	0.997	5
SC015175	(0)	0.785	0.215	5
SC015177	(0)	0.004	0.996	5
SC015179	(0)	0.003	0.997	5
SC015181	(0)	0.002	0.998	5
SC015191	(0)	0.003	0.997	5
SC025195	(0)	0.002	0.998	5
SC025196	(0)	0.021	0.979	5
SC030199	(0)	0.015	0.985	5
SC030200	(0)	0.004	0.996	5
SC030202	(0)	0.002	0.998	5
SC030203	(0)	0.002	0.998	5
SC030204	(0)	0.002	0.998	5
SC030207	(0)	0.003	0.997	5
SC030208	(0)	0.002	0.998	5
SC030210	(0)	0.023	0.977	5
SC040212	(0)	0.002	0.998	5
SC040214	(0)	0.002	0.998	5
SC040215	(0)	0.002	0.998	5
SC040219	(0)	0.002	0.998	5
SC040222	(0)	0.002	0.998	5
SC040223	(0)	0.002	0.998	5
SC040224	(0)	0.011	0.989	5
SC040226	(0)	0.002	0.998	5
SC040227	(0)	0.002	0.998	5
SC040228	(0)	0.003	0.997	5
SC040229	(0)	0.002	0.998	5
SC040231	(0)	0.002	0.998	5
SC040232	(0)	0.002	0.998	5
SC040233	(0)	0.002	0.998	5
SC040236	(0)	0.002	0.998	5
SC040237	(0)	0.002	0.998	5
SC040238	(0)	0.003	0.997	5
SC040239	(0)	0.015	0.985	5
SC040240	(0)	0.002	0.998	5
SC040241	(0)	0.003	0.997	5
SC040242	(0)	0.002	0.998	5
SC040247	(0)	0.002	0.998	5
SC040249	(0)	0.006	0.994	5
SC040251	(0)	0.002	0.998	5
SC040254	(0)	0.008	0.992	5
SC040255	(0)	0.028	0.972	5
SC040256	(0)	0.003	0.997	5
SC040258	(0)	0.012	0.988	5
SC040259	(0)	0.002	0.998	5
SC040262	(0)	0.003	0.997	5
SC040263	(0)	0.002	0.998	5
SC040265	(0)	0.009	0.991	5
SC040266	(0)	0.002	0.998	5
SC040267	(0)	0.002	0.998	5
SC040268	(0)	0.003	0.997	5
SC040269	(0)	0.002	0.998	5
SC040270	(0)	0.002	0.998	5
SC040271	(0)	0.002	0.998	5
SC040272	(0)	0.003	0.997	5
SC040273	(0)	0.001	0.999	5
SC040274	(0)	0.002	0.998	5
SC040275	(0)	0.200	0.800	5
SC040277	(0)	0.018	0.982	5
SC040278	(0)	0.002	0.998	5
SC040279	(0)	0.002	0.998	5
SC040281	(0)	0.004	0.996	5
SC040282	(0)	0.002	0.998	5
SC040283	(0)	0.002	0.998	5
SC040284	(0)	0.032	0.968	5
SC040285	(0)	0.003	0.997	5
SC040286	(0)	0.002	0.998	5
SC040288	(0)	0.002	0.998	5
SC040289	(0)	0.004	0.996	5
SC040292	(0)	0.001	0.999	5
SC040294	(0)	0.002	0.998	5
SC040295	(0)	0.025	0.975	5
SC040296	(0)	0.002	0.998	5
SC040297	(0)	0.002	0.998	5
SC040300	(0)	0.003	0.997	5
SC040301	(0)	0.002	0.998	5
SC040302	(0)	0.002	0.998	5
SC040303	(0)	0.003	0.997	5
SC040304	(0)	0.003	0.997	5
SC040305	(0)	0.002	0.998	5
SC040307	(0)	0.002	0.998	5
SC040308	(0)	0.002	0.998	5
SC040309	(0)	0.002	0.998	5
SC040311	(0)	0.003	0.997	5
SC040312	(0)	0.002	0.998	5
SC040313	(0)	0.002	0.998	5
SC040314	(0)	0.002	0.998	5
SC040316	(0)	0.004	0.996	5
SC040317	(0)	0.003	0.997	5
SC040318	(0)	0.002	0.998	5
SC040319	(0)	0.002	0.998	5
SC040320	(0)	0.002	0.998	5
SC040321	(0)	0.007	0.993	5
SC040322	(0)	0.005	0.995	5
SC040323	(0)	0.002	0.998	5
SC040325	(0)	0.002	0.998	5
SC040327	(0)	0.002	0.998	5
SC040330	(0)	0.003	0.997	5
SC040331	(0)	0.002	0.998	5
SC040332	(0)	0.002	0.998	5
SC040334	(0)	0.002	0.998	5
SC040337	(0)	0.002	0.998	5
SC040338	(0)	0.003	0.997	5
SC040339	(0)	0.009	0.991	5
SC040340	(0)	0.003	0.997	5
SC040341	(0)	0.002	0.998	5
SC040344	(0)	0.002	0.998	5
SC040346	(0)	0.002	0.998	5
SC040348	(0)	0.002	0.998	5
SC040352	(0)	0.002	0.998	5
SC040353	(0)	0.002	0.998	5
SC040354	(0)	0.055	0.945	5
SC040355	(0)	0.002	0.998	5
SC040356	(0)	0.030	0.970	5
SC040358	(0)	0.002	0.998	5
SC040359	(0)	0.043	0.957	5
SC040360	(0)	0.002	0.998	5
SC040361	(0)	0.002	0.998	5
SC040362	(0)	0.004	0.996	5
SC040363	(0)	0.002	0.998	5
SC040365	(0)	0.003	0.997	5
SC040366	(0)	0.002	0.998	5
SC040368	(0)	0.020	0.980	5
SC930501	(0)	0.004	0.996	5
SC930502	(0)	0.003	0.997	5
SC930507	(0)	0.001	0.999	5
SC930508	(0)	0.002	0.998	5
SC930510	(0)	0.002	0.998	5
SC930511	(0)	0.002	0.998	5
SC930513	(0)	0.005	0.995	5
SC930514	(0)	0.003	0.997	5
SC930516	(0)	0.002	0.998	5
SC930517	(0)	0.002	0.998	5
SC930518	(0)	0.001	0.999	5
SC930519	(0)	0.002	0.998	5
SC930522	(0)	0.268	0.732	5
SC930524	(0)	0.002	0.998	5
SC930525	(0)	0.003	0.997	5
SC930526	(5)	0.033	0.967	5
SC930527	(0)	0.002	0.998	5
SC940529	(0)	0.010	0.990	5
SC940530	(0)	0.002	0.998	5
SC940531	(0)	0.006	0.994	5
SC940532	(0)	0.002	0.998	5
SC940533	(0)	0.002	0.998	5
SC940535	(0)	0.003	0.997	5
SC940536	(0)	0.003	0.997	5
SC940537	(0)	0.002	0.998	5
SC940538	(0)	0.004	0.996	5
SC940539	(0)	0.003	0.997	5
SC940540	(0)	0.002	0.998	5
SC940541	(0)	0.002	0.998	5
SC940543	(0)	0.216	0.784	5
SC940544	(0)	0.002	0.998	5
SC940545	(0)	0.002	0.998	5
SC940546	(0)	0.002	0.998	5
SC940547	(0)	0.005	0.995	5
SC940548	(0)	0.015	0.985	5
SC940549	(0)	0.002	0.998	5
SC940551	(0)	0.002	0.998	5
SC940552	(0)	0.006	0.994	5
SC940553	(0)	0.002	0.998	5
SC940554	(0)	0.002	0.998	5
SC940555	(0)	0.002	0.998	5
SC940556	(0)	0.002	0.998	5
SC940558	(0)	0.003	0.997	5
SC940559	(0)	0.003	0.997	5
SC940560	(0)	0.300	0.700	5
SC940561	(0)	0.009	0.991	5
SC940564	(0)	0.002	0.998	5
SC940565	(0)	0.012	0.988	5
SC940566	(0)	0.012	0.988	5
SC940568	(0)	0.002	0.998	5
SC940570	(0)	0.002	0.998	5
SC940572	(0)	0.002	0.998	5
SC940573	(0)	0.004	0.996	5
SC940574	(0)	0.001	0.999	5
SC940577	(0)	0.005	0.995	5
SC940579	(0)	0.010	0.990	5
SC955052	(0)	0.015	0.985	5
SC955054	(5)	0.003	0.997	5
SC955055	(5)	0.003	0.997	5
SC955057	(11)	0.013	0.987	5
SC955058	(5)	0.003	0.997	5
SC955059	(0)	0.002	0.998	5
SC955060	(0)	0.002	0.998	5
SC955061	(0)	0.003	0.997	5
SC955062	(5)	0.001	0.999	5
SC955063	(5)	0.002	0.998	5
SC955064	(0)	0.002	0.998	5
SC955065	(0)	0.005	0.995	5
SC955066	(5)	0.003	0.997	5
SC955069	(16)	0.003	0.997	5
SC975071	(0)	0.002	0.998	5
SC975072	(0)	0.003	0.997	5
SC985074	(0)	0.002	0.998	5
SC985076	(0)	0.003	0.997	5
SC985077	(0)	0.002	0.998	5
SC985078	(0)	0.006	0.994	5
SC985079	(0)	0.016	0.984	5
SC985080	(0)	0.004	0.996	5
SC985081	(0)	0.003	0.997	5
SC985082	(0)	0.003	0.997	5
SC985083	(0)	0.002	0.998	5
SC985084	(0)	0.005	0.995	5
SC985085	(0)	0.003	0.997	5
SC985086	(0)	0.002	0.998	5
SC985088	(0)	0.006	0.994	5
SC985089	(0)	0.215	0.785	5
SC985091	(0)	0.002	0.998	5
SC985092	(0)	0.003	0.997	5
SC985093	(0)	0.002	0.998	5
SC985095	(0)	0.132	0.868	5
SC985096	(0)	0.004	0.996	5
SC985097	(0)	0.002	0.998	5
SC985098	(0)	0.002	0.998	5
SC985099	(0)	0.003	0.997	5
SC985100	(0)	0.007	0.993	5
SC985101	(0)	0.031	0.969	5
SC985102	(0)	0.003	0.997	5
SC985103	(0)	0.002	0.998	5
SC985105	(0)	0.047	0.953	5
SC985107	(0)	0.002	0.998	5
SC995108	(0)	0.028	0.972	5
SC995109	(0)	0.006	0.994	5
SC995110	(0)	0.004	0.996	5
SC995111	(0)	0.004	0.996	5
SC995112	(0)	0.002	0.998	5
SC995114	(0)	0.002	0.998	5
SC995115	(0)	0.003	0.997	5
SC995116	(0)	0.002	0.998	5
SC995117	(0)	0.002	0.998	5
SC995118	(0)	0.003	0.997	5
SC995119	(0)	0.009	0.991	5
SC995120	(0)	0.002	0.998	5
SC995121	(0)	0.002	0.998	5
SC995123	(0)	0.002	0.998	5
SC995126	(0)	0.002	0.998	5
NP025001	(0)	0.999	0.001	6
NP025002	(0)	0.995	0.005	6
NP025003	(0)	0.997	0.003	6
NP025004	(0)	0.996	0.004	6
NP025005	(0)	0.998	0.002	6
NP025006	(0)	0.998	0.002	6
NP025007	(0)	0.999	0.001	6
NP025008	(0)	0.997	0.003	6
NP025009	(0)	0.999	0.001	6
NP025010	(0)	0.998	0.002	6
NP025011	(0)	0.992	0.008	6
NP025012	(0)	0.998	0.002	6
NP025013	(0)	0.993	0.007	6
NP025014	(0)	0.995	0.005	6
NP961862	(5)	0.996	0.004	6
NP965791	(0)	0.990	0.010	6
NP965819	(0)	0.979	0.021	6
NP965820	(0)	0.998	0.002	6
NP965821	(0)	0.998	0.002	6
NP965824	(5)	0.903	0.097	6
NP966224	(11)	0.998	0.002	6
NP966248	(0)	0.997	0.003	6
NP966249	(0)	0.954	0.046	6
NP966253	(11)	0.988	0.012	6
NP966254	(0)	0.984	0.016	6
SC005129	(0)	0.018	0.982	6
SC005133	(0)	0.003	0.997	6
SC005134	(11)	0.226	0.774	6
SC005137	(0)	0.006	0.994	6
SC005138	(0)	0.010	0.990	6
SC005139	(0)	0.002	0.998	6
SC005141	(0)	0.002	0.998	6
SC005142	(0)	0.004	0.996	6
SC005143	(0)	0.001	0.999	6
SC005144	(0)	0.046	0.954	6
SC005145	(0)	0.002	0.998	6
SC005146	(0)	0.002	0.998	6
SC005149	(0)	0.002	0.998	6
SC005150	(0)	0.370	0.630	6
SC005151	(0)	0.002	0.998	6
SC005152	(0)	0.002	0.998	6
SC005156	(0)	0.002	0.998	6
SC005159	(0)	0.001	0.999	6
SC005161	(0)	0.001	0.999	6
SC005167	(0)	0.001	0.999	6
SC005173	(0)	0.001	0.999	6
SC015174	(0)	0.003	0.997	6
SC015175	(0)	0.810	0.190	6
SC015177	(0)	0.003	0.997	6
SC015179	(0)	0.003	0.997	6
SC015181	(0)	0.002	0.998	6
SC015191	(0)	0.002	0.998	6
SC025195	(0)	0.002	0.998	6
SC025196	(0)	0.020	0.980	6
SC030199	(0)	0.013	0.987	6
SC030200	(0)	0.003	0.997	6
SC030202	(0)	0.002	0.998	6
SC030203	(0)	0.001	0.999	6
SC030204	(0)	0.002	0.998	6
SC030207	(0)	0.003	0.997	6
SC030208	(0)	0.001	0.999	6
SC030210	(0)	0.021	0.979	6
SC040212	(0)	0.002	0.998	6
SC040214	(0)	0.002	0.998	6
SC040215	(0)	0.002	0.998	6
SC040219	(0)	0.002	0.998	6
SC040222	(0)	0.002	0.998	6
SC040223	(0)	0.002	0.998	6
SC040224	(0)	0.010	0.990	6
SC040226	(0)	0.002	0.998	6
SC040227	(0)	0.002	0.998	6
SC040228	(0)	0.002	0.998	6
SC040229	(0)	0.002	0.998	6
SC040231	(0)	0.002	0.998	6
SC040232	(0)	0.002	0.998	6
SC040233	(0)	0.002	0.998	6
SC040236	(0)	0.002	0.998	6
SC040237	(0)	0.002	0.998	6
SC040238	(0)	0.003	0.997	6
SC040239	(0)	0.013	0.987	6
SC040240	(0)	0.002	0.998	6
SC040241	(0)	0.002	0.998	6
SC040242	(0)	0.002	0.998	6
SC040247	(0)	0.002	0.998	6
SC040249	(0)	0.006	0.994	6
SC040251	(0)	0.002	0.998	6
SC040254	(0)	0.007	0.993	6
SC040255	(0)	0.024	0.976	6
SC040256	(0)	0.002	0.998	6
SC040258	(0)	0.011	0.989	6
SC040259	(0)	0.002	0.998	6
SC040262	(0)	0.003	0.997	6
SC040263	(0)	0.002	0.998	6
SC040265	(0)	0.010	0.990	6
SC040266	(0)	0.001	0.999	6
SC040267	(0)	0.002	0.998	6
SC040268	(0)	0.002	0.998	6
SC040269	(0)	0.001	0.999	6
SC040270	(0)	0.002	0.998	6
SC040271	(0)	0.002	0.998	6
SC040272	(0)	0.003	0.997	6
SC040273	(0)	0.001	0.999	6
SC040274	(0)	0.002	0.998	6
SC040275	(0)	0.206	0.794	6
SC040277	(0)	0.016	0.984	6
SC040278	(0)	0.002	0.998	6
SC040279	(0)	0.002	0.998	6
SC040281	(0)	0.003	0.997	6
SC040282	(0)	0.002	0.998	6
SC040283	(0)	0.002	0.998	6
SC040284	(0)	0.032	0.968	6
SC040285	(0)	0.002	0.998	6
SC040286	(0)	0.002	0.998	6
SC040288	(0)	0.002	0.998	6
SC040289	(0)	0.003	0.997	6
SC040292	(0)	0.001	0.999	6
SC040294	(0)	0.002	0.998	6
SC040295	(0)	0.022	0.978	6
SC040296	(0)	0.002	0.998	6
SC040297	(0)	0.002	0.998	6
SC040300	(0)	0.003	0.997	6
SC040301	(0)	0.002	0.998	6
SC040302	(0)	0.002	0.998	6
SC040303	(0)	0.002	0.998	6
SC040304	(0)	0.003	0.997	6
SC040305	(0)	0.002	0.998	6
SC040307	(0)	0.001	0.999	6
SC040308	(0)	0.002	0.998	6
SC040309	(0)	0.002	0.998	6
SC040311	(0)	0.003	0.997	6
SC040312	(0)	0.001	0.999	6
SC040313	(0)	0.002	0.998	6
SC040314	(0)	0.002	0.998	6
SC040316	(0)	0.003	0.997	6
SC040317	(0)	0.002	0.998	6
SC040318	(0)	0.002	0.998	6
SC040319	(0)	0.002	0.998	6
SC040320	(0)	0.001	0.999	6
SC040321	(0)	0.007	0.993	6
SC040322	(0)	0.004	0.996	6
SC040323	(0)	0.001	0.999	6
SC040325	(0)	0.001	0.999	6
SC040327	(0)	0.002	0.998	6
SC040330	(0)	0.003	0.997	6
SC040331	(0)	0.002	0.998	6
SC040332	(0)	0.001	0.999	6
SC040334	(0)	0.002	0.998	6
SC040337	(0)	0.002	0.998	6
SC040338	(0)	0.003	0.997	6
SC040339	(0)	0.008	0.992	6
SC040340	(0)	0.003	0.997	6
SC040341	(0)	0.002	0.998	6
SC040344	(0)	0.002	0.998	6
SC040346	(0)	0.002	0.998	6
SC040348	(0)	0.002	0.998	6
SC040352	(0)	0.002	0.998	6
SC040353	(0)	0.001	0.999	6
SC040354	(0)	0.050	0.950	6
SC040355	(0)	0.001	0.999	6
SC040356	(0)	0.034	0.966	6
SC040358	(0)	0.002	0.998	6
SC040359	(0)	0.042	0.958	6
SC040360	(0)	0.002	0.998	6
SC040361	(0)	0.002	0.998	6
SC040362	(0)	0.004	0.996	6
SC040363	(0)	0.002	0.998	6
SC040365	(0)	0.003	0.997	6
SC040366	(0)	0.002	0.998	6
SC040368	(0)	0.015	0.985	6
SC930501	(0)	0.003	0.997	6
SC930502	(0)	0.002	0.998	6
SC930507	(0)	0.001	0.999	6
SC930508	(0)	0.002	0.998	6
SC930510	(0)	0.002	0.998	6
SC930511	(0)	0.002	0.998	6
SC930513	(0)	0.004	0.996	6
SC930514	(0)	0.003	0.997	6
SC930516	(0)	0.002	0.998	6
SC930517	(0)	0.001	0.999	6
SC930518	(0)	0.001	0.999	6
SC930519	(0)	0.001	0.999	6
SC930522	(0)	0.276	0.724	6
SC930524	(0)	0.002	0.998	6
SC930525	(0)	0.003	0.997	6
SC930526	(5)	0.034	0.966	6
SC930527	(0)	0.002	0.998	6
SC940529	(0)	0.009	0.991	6
SC940530	(0)	0.002	0.998	6
SC940531	(0)	0.006	0.994	6
SC940532	(0)	0.002	0.998	6
SC940533	(0)	0.002	0.998	6
SC940535	(0)	0.003	0.997	6
SC940536	(0)	0.002	0.998	6
SC940537	(0)	0.002	0.998	6
SC940538	(0)	0.004	0.996	6
SC940539	(0)	0.003	0.997	6
SC940540	(0)	0.002	0.998	6
SC940541	(0)	0.002	0.998	6
SC940543	(0)	0.218	0.782	6
SC940544	(0)	0.002	0.998	6
SC940545	(0)	0.002	0.998	6
SC940546	(0)	0.002	0.998	6
SC940547	(0)	0.004	0.996	6
SC940548	(0)	0.016	0.984	6
SC940549	(0)	0.002	0.998	6
SC940551	(0)	0.002	0.998	6
SC940552	(0)	0.006	0.994	6
SC940553	(0)	0.002	0.998	6
SC940554	(0)	0.002	0.998	6
SC940555	(0)	0.002	0.998	6
SC940556	(0)	0.001	0.999	6
SC940558	(0)	0.003	0.997	6
SC940559	(0)	0.003	0.997	6
SC940560	(0)	0.309	0.691	6
SC940561	(0)	0.010	0.990	6
SC940564	(0)	0.001	0.999	6
SC940565	(0)	0.011	0.989	6
SC940566	(0)	0.011	0.989	6
SC940568	(0)	0.002	0.998	6
SC940570	(0)	0.002	0.998	6
SC940572	(0)	0.001	0.999	6
SC940573	(0)	0.004	0.996	6
SC940574	(0)	0.001	0.999	6
SC940577	(0)	0.005	0.995	6
SC940579	(0)	0.009	0.991	6
SC955052	(0)	0.014	0.986	6
SC955054	(5)	0.003	0.997	6
SC955055	(5)	0.003	0.997	6
SC955057	(11)	0.013	0.987	6
SC955058	(5)	0.002	0.998	6
SC955059	(0)	0.002	0.998	6
SC955060	(0)	0.002	0.998	6
SC955061	(0)	0.003	0.997	6
SC955062	(5)	0.001	0.999	6
SC955063	(5)	0.002	0.998	6
SC955064	(0)	0.002	0.998	6
SC955065	(0)	0.004	0.996	6
SC955066	(5)	0.003	0.997	6
SC955069	(16)	0.002	0.998	6
SC975071	(0)	0.002	0.998	6
SC975072	(0)	0.002	0.998	6
SC985074	(0)	0.001	0.999	6
SC985076	(0)	0.003	0.997	6
SC985077	(0)	0.002	0.998	6
SC985078	(0)	0.006	0.994	6
SC985079	(0)	0.012	0.988	6
SC985080	(0)	0.003	0.997	6
SC985081	(0)	0.003	0.997	6
SC985082	(0)	0.003	0.997	6
SC985083	(0)	0.002	0.998	6
SC985084	(0)	0.004	0.996	6
SC985085	(0)	0.002	0.998	6
SC985086	(0)	0.001	0.999	6
SC985088	(0)	0.005	0.995	6
SC985089	(0)	0.223	0.777	6
SC985091	(0)	0.002	0.998	6
SC985092	(0)	0.003	0.997	6
SC985093	(0)	0.002	0.998	6
SC985095	(0)	0.134	0.866	6
SC985096	(0)	0.003	0.997	6
SC985097	(0)	0.002	0.998	6
SC985098	(0)	0.002	0.998	6
SC985099	(0)	0.003	0.997	6
SC985100	(0)	0.007	0.993	6
SC985101	(0)	0.033	0.967	6
SC985102	(0)	0.002	0.998	6
SC985103	(0)	0.002	0.998	6
SC985105	(0)	0.047	0.953	6
SC985107	(0)	0.001	0.999	6
SC995108	(0)	0.025	0.975	6
SC995109	(0)	0.006	0.994	6
SC995110	(0)	0.003	0.997	6
SC995111	(0)	0.003	0.997	6
SC995112	(0)	0.002	0.998	6
SC995114	(0)	0.002	0.998	6
SC995115	(0)	0.003	0.997	6
SC995116	(0)	0.002	0.998	6
SC995117	(0)	0.001	0.999	6
SC995118	(0)	0.003	0.997	6
SC995119	(0)	0.008	0.992	6
SC995120	(0)	0.002	0.998	6
SC995121	(0)	0.002	0.998	6
SC995123	(0)	0.002	0.998	6
SC995126	(0)	0.001	0.999	6
NP025001	(0)	0.997	0.003	7
NP025002	(0)	0.988	0.012	7
NP025003	(0)	0.992	0.008	7
NP025004	(0)	0.990	0.010	7
